                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1535,                0.65237,                 1.1032,                0.97089,                 0.9392,                0.98149,                0.71286,                0.99562,                0.43513,                 1.0077,              0.0033272,              0.0033272,              0.0033272
                      1,                0.98081,                0.49387,                 1.0191,                 0.9733,                0.94944,                0.98267,                0.73191,                0.93451,                0.44815,                  1.006,              0.0066275,              0.0066275,              0.0066275
                      2,                0.97673,                0.51445,                 1.0276,                0.97125,                0.94599,                0.98312,                0.74546,                0.93365,                0.45903,                 1.0308,              0.0098949,              0.0098949,              0.0098949
                      3,                0.96486,                0.51347,                 1.0339,                0.97697,                0.94996,                0.98468,                0.74704,                0.89807,                0.44268,                 1.0378,              0.0098515,              0.0098515,              0.0098515
                      4,                0.90398,                0.47974,                 1.0128,                0.97792,                 0.9624,                0.98985,                0.78913,                0.79479,                0.39598,                0.99034,              0.0098515,              0.0098515,              0.0098515
                      5,                0.86012,                0.45205,                0.99531,                0.97729,                0.96469,                0.98961,                0.80571,                0.77012,                0.37763,                0.99071,               0.009802,               0.009802,               0.009802
                      6,                0.81696,                0.43004,                0.98151,                0.98337,                0.96378,                0.99034,                0.82726,                0.70398,                0.35336,                0.94602,              0.0097525,              0.0097525,              0.0097525
                      7,                0.79212,                0.41974,                0.96771,                 0.9814,                0.96476,                 0.9902,                 0.8269,                0.69642,                0.34894,                0.95688,               0.009703,               0.009703,               0.009703
                      8,                0.76818,                0.40282,                 0.9655,                0.98109,                0.96804,                0.99112,                0.83347,                0.67289,                0.33697,                0.94844,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.7396,                0.38904,                0.95285,                0.98417,                0.96898,                0.99173,                0.84839,                0.64993,                0.32063,                0.94535,               0.009604,               0.009604,               0.009604
                     10,                0.72144,                0.38046,                0.94168,                0.98584,                0.96745,                0.99203,                0.84785,                0.64065,                0.30979,                0.92249,              0.0095545,              0.0095545,              0.0095545
                     11,                 0.7008,                0.37122,                0.94227,                0.98496,                0.97123,                0.99185,                 0.8563,                0.60619,                0.30512,                 0.9223,               0.009505,               0.009505,               0.009505
                     12,                0.68532,                0.36404,                0.93299,                0.98548,                 0.9716,                0.99256,                0.86538,                0.59714,                0.29619,                0.91533,              0.0094555,              0.0094555,              0.0094555
